belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,return,name_collection
{'name':'sin datos' },0,Drama,10443,en,"After a terrible air disaster, survivor Max Klein emerges a changed person. Unable to connect to his former life or to wife Laura, he feels godlike and invulnerable. When psychologist Bill Perlman is unable to help Max, he has Max meet another survivor, Carla Rodrigo, who is racked with grief and guilt since her baby died in the crash which she and Max survived.",9.284624,"Spring Creek Productions, Warner Bros.",United States of America,1993-10-15,0.0,122.0,English,Released,Some people are afraid of nothing.,Fearless,6.8,80.0,1993,0.0,sin datos
{'name':'sin datos' },0,Comedy,20239,en,"Chronicling the controversial career of bad boys N.W.H. (Niggaz With Hats), this uproarious 'mockumentary' lampoons all of hardcore rap's hot-button issues. This underground laugh riot recounts the rise, fall and resurrection of a clueless bunch of would-be rappers, Ice Cold, Tone-Def &amp; Tasty Taste performing as N.W.H.",0.985441,sin datos,"United Kingdom, United States of America",1994-10-28,0.0,88.0,English,Released,The First Drive-By Comedy,Fear of a Black Hat,5.8,11.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Comedy, Drama",16297,en,"Convinced he'll graduate with honors because of his thesis paper, a stuffy Harvard student finds his paper being held hostage by a homeless man, who might be the guy to school the young man in life.",2.969003,"Spring Creek Productions, Warner Bros.",United States of America,1994-04-29,0.0,103.0,English,Released,"If you want a degree go to Harvard, If you want an education go to Simon Wilder.",With Honors,6.1,54.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Drama, Mystery, Romance",18551,en,"Some thirty years after Arlis witnesses his father murdering a family, he runs into Kay, who happens to be the family's baby who was spared. Kay and Arlis suspect nothing about each other, but when his father returns, old wounds are reopened.",1.896869,"Paramount Pictures, Spring Creek Productions, Mirage",United States of America,1993-11-05,9488998.0,126.0,English,Released,Evil is patient,Flesh and Bone,6.2,22.0,1993,0.0,sin datos
{'name':'sin datos' },0,"Comedy, Thriller, Mystery, Romance, Foreign",25440,en,Scandal and mystery reign following the arrival of Edwina in a small Irish town populated entirely by widows. Edwina quickly falls out with the locals while also falling in with the son of the community's leader,0.409427,Fine Line Features,"Ireland, United Kingdom",1994-05-13,0.0,101.0,English,Released,sin datos,Widows' Peak,4.3,3.0,1994,0.0,sin datos
{'name':'sin datos' },30000000,"Comedy, Romance",9024,en,"New York concierge Doug Ireland wants to go into business for himself and refurbish a hotel on Roosevelt Island, N.Y., but he needs an investor. With a few weeks left before his option on the site runs out, Doug agrees to help wealthy Christian Hanover conceal his affair with salesgirl Andy Hart from his wife. Despite his own attraction to Andy, Doug tries to stay focused on getting Christian to invest $3 million in his project.",8.468869,"Universal Studios, Imagine Entertainment",United States of America,1993-10-01,11146270.0,94.0,English,Released,He thought there was nothing as seductive as money. He was wrong.,For Love or Money,5.7,77.0,1993,0.3715423333333333,sin datos
{'name':'sin datos' },42000000,"Drama, Mystery, Thriller",37233,en,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",9.678367,"Paramount Pictures, Mirage Enterprises, Davis Entertainment",United States of America,1993-06-30,270248367.0,154.0,English,Released,Power can be murder to resist.,The Firm,6.6,513.0,1993,6.434484928571429,sin datos
"{'id': 9328, 'name': 'Free Willy Collection', 'poster_path': '/3M2Q9ZDTyFBfi3ohz2gizFmnoL0.jpg', 'backdrop_path': '/aef15QAJ8Kxbh8W5zXqJb1f9Vhw.jpg'}",20000000,"Family, Adventure",1634,en,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",5.990572,"Canal Plus, Regency Enterprises, Alcor Films, Warner Bros., Donner/Shuler-Donner Productions","France, United States of America",1993-07-16,153698625.0,112.0,English,Released,How far would you go for a friend?,Free Willy,6.0,429.0,1993,7.68493125,Free Willy Collection
{'name':'sin datos' },0,"Crime, Drama, Thriller",13815,en,"Michael is a 12-year-old drug pusher who lives in a crowded house with his cousins and aunt. His father has become a street bum,but still meets with Fresh on occasion to play chess. Fresh is rather quiet in a crazy world. Fresh's sister is a junkie who sleeps with the dealers that Fresh sells for. As the story progresses Fresh realizes that he doesn't want to sell drugs anymore - he wants revenge.",3.970215,Miramax Films,"France, United States of America",1994-08-24,0.0,114.0,English,Released,sin datos,Fresh,7.6,56.0,1994,0.0,sin datos
"{'id': 134011, 'name': 'The Fugitive / U.S. Marshals Collection', 'poster_path': '/idhUzfuEC24PTYhkWasivjoA3O0.jpg', 'backdrop_path': '/9xbrJQoHkTgkXY8oDsTmND0FiEX.jpg'}",44000000,"Adventure, Action, Thriller, Crime, Mystery",5503,en,"Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",10.08937,Warner Bros.,United States of America,1993-08-06,368875760.0,130.0,English,Released,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,The Fugitive,7.2,1240.0,1993,8.38354,The Fugitive / U.S. Marshals Collection
{'name':'sin datos' },35000000,"History, Action, Drama, Western",35588,en,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, whi",4.653462,Columbia Pictures,United States of America,1993-12-10,18635620.0,115.0,"English, Français",Released,A Warrior. A Leader. A Legend.,Geronimo: An American Legend,5.9,44.0,1993,0.5324462857142858,sin datos
{'name':'sin datos' },0,"Drama, Action, Thriller",2087,en,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.",14.214403,"Universal Pictures, Largo Entertainment","Japan, United States of America",1994-02-11,30.0,115.0,English,Released,sin datos,The Getaway,5.4,81.0,1994,0.0,sin datos
{'name':'sin datos' },30000000,"Family, Comedy, Crime",41579,en,"Ray, an ex-con and widower, is planning a coin heist with two accomplices to help him to buy his own bakery. However, he doesn't expect his son Timmy, who was living with Ray's sister, to show up at the house right in the middle of planning. Timmy is ignored and Ray and his buddies pull off the heist. Timmy gets his father's attention by stealing the coins and hiding them. To get them back, his father must take him to a number of different places and treat him like he enjoys his presence. They grow fond of each other but Timmy won't stay with his dad unless he gives up the coins.",2.410545,Metro-Goldwyn-Mayer (MGM),United States of America,1994-06-17,0.0,109.0,English,Released,"..He's not getting mad, he's Getting Even With Dad.",Getting Even with Dad,4.5,43.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Drama, Romance",18620,en,"Max is a trendy, pretty, young lesbian, who is having trouble finding love. A friend sets her up with Ely, whom Max likes, but Ely is frumpy, homely, and older. Nor do they have much in common. Can Max learn to look past the packaging?",0.775898,"Killer Films, The Samuel Goldwyn Company, Can I Watch, Islet, KPVI",United States of America,1994-06-10,0.0,83.0,English,Released,The girl is out there,Go Fish,3.9,5.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Comedy, Drama",41006,en,"Morgan Leafy is a secretary to the British High Commissioner to an Africa nation. Leafy is a man that makes himself useful to his boss, the snobbish Arthur Fanshawe, who has no clue about what's going on around him, but who wants to use his secretary to carry on his dirty work, which involves getting one of the most powerful men in the country to do business with his country.The young secretary has an eye for beautiful women around him, especially Hazel, a native beauty, with whom he is having an affair. Things get complicated because Sam Adekunle, a man running for president of the country, wants a favor from Leafy in return after he has accepted the invitation to visit London. The proposition involves swaying a prominent doctor's opposition to a plan that will make Adenkule filthy rich.",5.22583,Gramercy Pictures,"South Africa, United States of America",1994-07-14,0.0,94.0,English,Released,sin datos,A Good Man in Africa,5.2,11.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Drama, Thriller",4916,en,"Before a criminal lawyer knows what has happened, she is forced to defend a wife killer she knows is guilty.",5.385108,Hollywood Pictures,United States of America,1993-06-04,22886222.0,107.0,English,Released,"She's finally met her match. He's handsome, wealthy, seductive. A Real Lady Killer!",Guilty as Sin,5.6,21.0,1993,0.0,sin datos
"{'id': 412680, 'name': 'Hard Target Collection', 'poster_path': '/g7Bc4ik16xOBz21BQOcsxrBL8BO.jpg', 'backdrop_path': '/wcBIwQY888HX1QWpnv43lAujoId.jpg'}",18000000,"Action, Adventure, Crime, Thriller",2019,en,"When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",7.834351,"Universal Pictures, Renaissance Pictures, Alphaville Films",United States of America,1993-08-20,74189677.0,97.0,English,Released,Don't hunt what you can't kill.,Hard Target,6.1,237.0,1993,4.121648722222222,Hard Target Collection
{'name':'sin datos' },33000000,"History, War, Action, Drama",31642,en,"Le Ly lives in a small Vietnamese village whose serenity is shattered when war breaks out. Caught between the Viet Cong and the South Vietnamese army, the village is all but destroyed. After being both brutalized and raped, Le Ly resolves to flee. She leaves for the city, surviving desperate situations, but surviving nonetheless. Eventually she meets a U.S. Marine named Steve Butler who treats her kindly and tells her he would like to be married -- maybe to her.",4.190541,"Regency Enterprises, Warner Bros.","France, United States of America",1993-12-24,0.0,140.0,"English, Tiếng Việt",Released,An amazing true story of survival.,Heaven & Earth,6.4,51.0,1993,0.0,sin datos
"{'id': 52988, 'name': 'Hot Shots! Collection', 'poster_path': '/5uzldxeEVqvdaZhE4uCT9TTz9p1.jpg', 'backdrop_path': '/iGrRouADMV9MbidImsgRORaV3q.jpg'}",25000000,"Action, Comedy, War",9255,en,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.",13.482371,"Twentieth Century Fox Film Corporation, Sidley Wright & Associates",United States of America,1993-05-21,133752825.0,86.0,English,Released,Just deux it.,Hot Shots! Part Deux,6.2,463.0,1993,5.350113,Hot Shots! Collection
{'name':'sin datos' },0,Comedy,26271,en,"A group of old friends at a Hens Night discuss their issues, uncertainties, fears and fantasies.",2.138959,"Spelling Entertainment, IRS Media, Republic Pictures (II)",United States of America,1995-12-08,0.0,95.0,English,Released,"Sex, Lies and Fantasies... Unrated!",Live Nude Girls,4.7,12.0,1995,0.0,sin datos
{'name':'sin datos' },0,"Drama, Comedy, Romance",10612,en,"When an English cartographer arrives in Wales to tell the residents of the Welsh village of Ffynnon Garw  that their ""mountain"" is only a hill, the offended community sets out to remedy the situation.  The film is based on a story heard by Christopher Monger from his grandfather about the real village of Taff's Well,  in the old county of Glamorgan, and its neighbouring Garth Hill. However, due to 20th century urbanisation of the area, it was filmed in the more rural Llanrhaeadr-ym-Mochnant and Llansilin areas in Powys.",5.331753,"Miramax Films, Parallax Pictures",United Kingdom,1995-05-12,0.0,99.0,English,Released,sin datos,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83.0,1995,0.0,sin datos
{'name':'sin datos' },25000000,"Romance, Drama",2259,en,"A rancher, his clairvoyant wife and their family face turbulent years in South America.",10.687795,"Det Danske Filminstitut, Spring Creek Productions, Eurimages, Costa do Castelo Filmes, Neue Constantin Film, House of Spirits Film","Denmark, France, Germany, Portugal, United States of America",1993-10-19,0.0,140.0,"Español, English",Released,sin datos,The House of the Spirits,6.7,135.0,1993,0.0,sin datos
"{'id': 159600, 'name': 'House Party Collection', 'poster_path': '/hwaQA1SEoiWsacESz0IMaDQ3vVV.jpg', 'backdrop_path': None}",0,Comedy,16097,en,"Hip Hop duo Kid &amp; Play return in the second follow-up to their 1990 screen debut House Party. Kid (Christopher ""Kid"" Reid) is taking the plunge and marrying his girlfriend Veda (Angela Means), while his friend Play (Christopher Martin) is dipping his toes into the music business, managing a roughneck female rap act called Sex as a Weapon. Play books the ladies for a concert with heavy-hitting pr",0.996047,sin datos,sin datos,1994-01-01,0.0,100.0,English,Released,This bachelor party's gonna' bring down the house!,House Party 3,4.6,11.0,1994,0.0,House Party Collection
{'name':'sin datos' },30000000,"Comedy, Drama",11934,en,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,7.550545,"PolyGram Filmed Entertainment, Silver Pictures, Warner Bros., Working Title Films, PolyGram Filmproduktion","Germany, United Kingdom, United States of America",1994-03-11,0.0,111.0,English,Released,They took him for a fall guy... but he threw them for a hoop.,The Hudsucker Proxy,7.1,280.0,1994,0.0,sin datos
{'name':'sin datos' },40000000,"Comedy, Drama",106143,en,"Matt Hobbs is a talented but unsuccessful actor. When estranged (and strange) ex-wife Beth dumps their daughter Jeannie on Matt, father and daughter have a lot of adjusting to do. His budding relationship with attractive production assistant Cathy Breslow is made complicated, while the precocious child is overly accustomed to getting her own way. Matt eventually faces the choice of family vs career in a particularly difficult way.",1.742974,"Gracie Films, Columbia Pictures Corporation",United States of America,1994-02-04,0.0,115.0,English,Released,sin datos,I'll Do Anything,5.7,18.0,1994,0.0,sin datos
{'name':'sin datos' },0,Comedy,12475,en,"Bones Conway and Jack Kaufman didn't really know what they were in for when they enlisted in the U.S. Army; they just wanted to get a job and make some money. But these new recruits are so hapless, they run the risk of getting kicked out before their military careers even begin. Soon, though, they're sent to the Middle East to fight for their country -- which they manage to do in their own wacky ways.",6.071466,Hollywood Pictures,United States of America,1994-08-12,28881266.0,91.0,English,Released,"Sleep tight, America! The safety of the free world rests in his hands!",In the Army Now,4.7,54.0,1994,0.0,sin datos
{'name':'sin datos' },40000000,"Action, Drama, Thriller, Crime, Mystery",9386,en,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",12.637158,"Castle Rock Entertainment, Columbia Pictures Corporation",United States of America,1993-07-08,176997168.0,128.0,English,Released,An assassin on the loose. A president in danger. Only one man stands between them...,In the Line of Fire,6.8,392.0,1993,4.4249292,sin datos
{'name':'sin datos' },13000000,Drama,7984,en,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",7.405895,"Universal Pictures, Hell's Kitchen Films","United Kingdom, Ireland",1993-12-12,65796862.0,133.0,English,Released,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,In the Name of the Father,7.6,363.0,1993,5.0612970769230765,sin datos
{'name':'sin datos' },0,"Comedy, Drama, Romance",59930,en,The Inkwell is about a 16-year-old boy coming of age on Martha's Vineyard in the summer of 1976.,0.613335,Touchstone Pictures,United States of America,1994-04-22,8880705.0,110.0,English,Released,Summer's Never Been So Much Fun!,The Inkwell,3.9,5.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Drama, Music",15765,en,A film about the singer Tina Turner and how she rose to stardom with her abusive husband Ike Turner and how she gained the courage to break free.,14.820883,Touchstone Pictures,United States of America,1993-06-09,0.0,118.0,English,Released,Who needs a heart when a heart can be broken?,What's Love Got to Do with It,6.9,75.0,1993,0.0,sin datos
{'name':'sin datos' },30000000,Comedy,31643,en,"Jimmy Alto is an actor wannabe who stumbles into the role of a lifetime. He becomes a vigilante crime-fighter, aided by his sidekick William, who has suffered a head wound and has problems with short-term memory. Jimmy's vigilante alter ego soon becomes a media wonder--but Jimmy remains a total unknown and his long-suffering girl friend Lorraine is getting fed up with the whole situation.",4.563989,"Paramount Pictures, Baltimore Pictures",United States of America,1994-03-30,0.0,112.0,"English, Français",Released,sin datos,Jimmy Hollywood,4.6,17.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Action, Thriller, Crime",6,en,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,"Universal Pictures, Largo Entertainment, JVC Entertainment Networks","Japan, United States of America",1993-10-15,12136938.0,110.0,English,Released,Don't move. Don't whisper. Don't even breathe.,Judgment Night,6.4,79.0,1993,0.0,sin datos
"{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg'}",63000000,"Adventure, Science Fiction",329,en,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,"Universal Pictures, Amblin Entertainment",United States of America,1993-06-11,920100000.0,127.0,"English, Español",Released,An adventure 65 million years in the making.,Jurassic Park,7.6,4956.0,1993,14.604761904761904,Jurassic Park Collection
{'name':'sin datos' },9000000,"Thriller, Crime",10909,en,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",8.4337,"Propaganda Films, Kouf/Bigelow Productions",United States of America,1993-09-01,2395231.0,117.0,English,Released,Fear never travels alone.,Kalifornia,6.5,209.0,1993,0.2661367777777778,sin datos
{'name':'sin datos' },1500000,"Action, Crime, Drama, Thriller",507,en,"Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",4.948569,Live Entertainment,"France, United States of America",1993-10-01,418961.0,96.0,"English, Français",Released,sin datos,Killing Zoe,6.1,111.0,1993,0.27930733333333335,sin datos
{'name':'sin datos' },0,Drama,34024,en,"Based on the Depression-era bildungsroman memoir of writer A. E. Hotchner, the film follows the story of a boy struggling to survive on his own in a hotel in St. Louis after his mother is committed to a sanatorium with tuberculosis. His father, a German immigrant and traveling salesman working for the Hamilton Watch Company, is off on long trips from which the boy cannot be certain he will return.",4.375347,Gramercy Pictures,United States of America,1993-08-20,0.0,103.0,English,Released,"When the world turns upside down, the trick is coming out on top.",King of the Hill,6.4,33.0,1993,0.0,sin datos
{'name':'sin datos' },0,"Action, Adventure, Drama, Family",29918,en,"An update of the Lassie legend stars Thomas Guiry as a troubled city kid whose family retreats to the country, where he befriends the famous collie and changes for the better. Conflict develops when a ruthless sheep rancher causes trouble for everyone.",3.645342,Paramount Pictures,United States of America,1994-07-22,0.0,94.0,English,Released,Best Friends Are Forever,Lassie,6.1,54.0,1994,0.0,sin datos
{'name':'sin datos' },85000000,"Adventure, Fantasy, Action, Comedy, Family",9593,en,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",9.434006,"Columbia Pictures Corporation, Oak Productions",United States of America,1993-06-18,137298489.0,130.0,English,Released,This isn't the movies anymore.,Last Action Hero,6.1,725.0,1993,1.6152763411764706,sin datos
{'name':'sin datos' },0,"Comedy, Family",42580,en,"Michael Chapman was once a child TV star. But when he grew up, he couldn't get work. So he and his brother, Ed start their own talent agency that specializes in child acts. They can't seem to find the next big thing and they have to deal with another agency who's not above bribery to get the kids to sign with them. One day Michael meets a girl named Angie and she's a real spitfire. Michael thinks she could be what they are looking for. Problem is that she has a big chip on her shoulder.",6.446229,Touchstone Pictures,United States of America,1993-06-04,0.0,91.0,English,Released,He's a talent agent. She's a thief. Looks like they've already got something in common.,Life With Mikey,5.1,24.0,1993,0.0,sin datos
{'name':'sin datos' },0,"Action, Comedy, Western",22317,en,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last heist.",2.913584,Savoy Pictures,"Australia, United States of America",1994-03-11,0.0,98.0,"English, Deutsch",Released,sin datos,Lightning Jack,5.7,40.0,1994,0.0,sin datos
{'name':'sin datos' },0,"Drama, Romance",1413,en,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.",6.516976,"Geffen Pictures, Warner Bros.",United States of America,1993-09-09,1499795.0,101.0,English,Released,sin datos,M. Butterfly,6.6,35.0,1993,0.0,sin datos
{'name':'sin datos' },22000000,Comedy,12121,en,"A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white.",5.43085,"Regency Enterprises, Warner Bros.","France, United States of America",1993-05-27,0.0,111.0,English,Released,"At the sperm-bank she asked for a tall, intelligent, black man. One out of three ain't bad.",Made in America,5.3,86.0,1993,0.0,sin datos
{'name':'sin datos' },0,"Drama, Crime",2246,en,"A tale about a happily married couple who would like to have children. Tracy teaches infants, Andy's a college professor. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.",9.861672,"Columbia Pictures, New Line Cinema, Castle Rock Entertainment, Nelvana Limited",United States of America,1993-09-29,46405336.0,107.0,English,Released,Her doctor wasn't playing God. He thought he was God.,Malice,5.9,105.0,1993,0.0,sin datos
{'name':'sin datos' },0,Drama,10502,en,"The story of a relationship between a teacher and his troubled pupil. Justin McLeod is a former teacher who lives as a recluse on the edge of town. His face is disfigured from an automobile accident and fire ten years before in which a boy was incinerated and for which he was convicted of involuntary manslaughter. He is also suspected of being a pedophile. He is befriended by Chuck, causing the town's suspicion and hostility to be ignited. McLeod inculcates in his protege a love of justice and freedom from prejudice which sustains him beyond the end of the film.",5.997712,"Icon Entertainment International, Warner Bros.",United States of America,1993-08-25,24760338.0,114.0,English,Released,A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.,The Man without a Face,6.2,125.0,1993,0.0,sin datos
{'name':'sin datos' },13500000,"Comedy, Mystery",10440,en,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,8.939404,TriStar Pictures,United States of America,1993-08-18,11285588.0,104.0,English,Released,Keaton & Allen reunited for fun flick!,Manhattan Murder Mystery,7.1,169.0,1993,0.8359694814814815,sin datos
{'name':'sin datos' },3500000,"Drama, Action, Crime",9516,en,"Menace II Society is a coming of age tale detailing the summer after its protagonist Caine (Tyrin Turner) graduates from high school. This is Caine's story, which details real life in today's tough inner city.",5.260924,New Line Cinema,United States of America,1993-05-26,27900000.0,97.0,English,Released,This is the truth. This is what's real.,Menace II Society,7.2,179.0,1993,7.9714285714285715,sin datos
{'name':'sin datos' },55000000,"Action, Adventure, Drama, Thriller",2320,en,"Terrorists hijack a 747 inbound to Washington D.C., demanding the the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",13.106291,"Silver Pictures, Warner Bros.",United States of America,1996-03-15,121969216.0,133.0,English,Released,Fasten your seat belts,Executive Decision,5.8,261.0,1996,2.217622109090909,sin datos
{'name':'sin datos' },0,"Drama, Romance",5879,ja,"Based on a true story set in pre-war Japan, a man and one of his servants begin a torrid affair. Their desire becomes a sexual obsession so strong that to intensify their ardor, they forsake all, even life itself.",8.932494,"Argos Films, Oshima Productions, Shibata Organisation",Japan,1976-05-15,0.0,105.0,日本語,Released,sin datos,In the Realm of the Senses,6.5,112.0,1976,0.0,sin datos
{'name':'sin datos' },0,"Thriller, Comedy, Drama, Romance",83718,en,"Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner one night.",0.534606,"The Samuel Goldwyn Company, Good Machine",United States of America,1994-09-09,0.0,91.0,English,Released,sin datos,What Happened Was...,7.0,7.0,1994,0.0,sin datos
{'name':'sin datos' },8000000,"Drama, Comedy, Romance",11971,en,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding.",8.62724,"Renaissance Films, American Playhouse Theatrical Films","United Kingdom, United States of America",1993-05-07,0.0,111.0,English,Released,Romance. Mischief. Seduction. Revenge. Remarkable.,Much Ado About Nothing,7.2,194.0,1993,0.0,sin datos
{'name':'sin datos' },0,"Drama, Romance",2625,en,"The story about the relationship between a manic depressive man, Mr Jones, and the female doctor who takes more than a professional interest in his treatment.",6.579753,"TriStar Pictures, Rastar Films",United States of America,1993-10-08,0.0,114.0,English,Released,Everything That Makes Him Dangerous Makes Her Love Him More,Mr. Jones,5.9,35.0,1993,0.0,sin datos
{'name':'sin datos' },0,"Comedy, Romance",31911,en,Electrician Gus gets the chance to fulfill a childhood dream by buying an old bowling-alley with some of his friends.,13.011091,"Warner Bros., The Samuel Goldwyn Company, Night Life Inc.",United States of America,1993-10-15,0.0,98.0,English,Released,Sometimes love is a stranger. And sometimes it's someone you've known all your life.,Mr. Wonderful,5.5,11.0,1993,0.0,sin datos
{'name':'sin datos' },25000000,"Comedy, Drama, Family",788,en,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",11.16553,"Twentieth Century Fox Film Corporation, Blue Wolf",United States of America,1993-11-24,441286195.0,125.0,English,Released,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,7.0,1638.0,1993,17.6514478,sin datos
{'name':'sin datos' },0,"Comedy, Drama",21450,en,"Johnny flees Manchester for London, to avoid a beating from the family of a girl he has raped. There he finds an old girlfriend, and spends some time homeless, spending much of his time ranting at strangers, and meeting characters in plights very much like his own.",8.665198,"Thin Man Films, The Criterion Collection",United Kingdom,1993-09-14,0.0,131.0,English,Released,sin datos,Naked,7.5,105.0,1993,0.0,sin datos
"{'id': 8580, 'name': 'The Karate Kid Collection', 'poster_path': '/o6h2F0C5eZOy50Q76fNYzc9mvvw.jpg', 'backdrop_path': '/1ok5JGCsDt4Sh3CkFeXh2F2KB7F.jpg'}",12000000,Adventure,11231,en,"During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path.",9.9697,Columbia Pictures Corporation,United States of America,1994-07-18,15826984.0,107.0,English,Released,Who says the good guy has to be a guy?,The Next Karate Kid,4.8,202.0,1994,1.3189153333333334,The Karate Kid Collection
